mean_abs_fbme_d1_cgm,strategy,t
36.65346850228732,dynamic_gen,8009
42.45136398342159,dynamic_gen,8010
32.55894795336184,dynamic_gen,8011
4.929982237509355,dynamic_gen,8012
7.120244047760451,dynamic_gen,8013
12.62703795284134,dynamic_gen,8014
26.828241618470678,dynamic_gen,8015
69.599049221642,dynamic_gen,8016
73.32604746837258,dynamic_gen,8017
72.52459082446396,dynamic_gen,8018
3.059908354015427,dynamic_gen,8019
0.4628336913448667,dynamic_gen,8020
7.008281281261171e-13,dynamic_gen,8021
14.224131621519742,dynamic_gen,8022
124.30188045361577,dynamic_gen,8023
100.70259141896044,dynamic_gen,8024
96.33876424308679,dynamic_gen,8025
77.49718204744596,dynamic_gen,8026
45.304775783974584,dynamic_gen,8027
24.529034816638937,dynamic_gen,8028
26.35166285740806,dynamic_gen,8029
35.03863408771344,dynamic_gen,8030
40.35045396297695,dynamic_gen,8031
54.160807460977765,dynamic_gen,8032
44.20575332983005,dynamic_gen,8033
50.04549955730332,dynamic_gen,8034
54.21583176313784,dynamic_gen,8035
30.71993630930584,dynamic_gen,8036
38.92241206055317,dynamic_gen,8037
35.70678773956178,dynamic_gen,8038
18.247030745774314,dynamic_gen,8039
4.501216077655696e-12,dynamic_gen,8040
6.993416260984218e-13,dynamic_gen,8041
3.588492359819147e-13,dynamic_gen,8042
1.9668955573978743e-12,dynamic_gen,8043
6.079570937096304e-13,dynamic_gen,8044
3.4479386316444156e-13,dynamic_gen,8045
5.635483495990036e-13,dynamic_gen,8046
1.0686609564789846e-11,dynamic_gen,8047
5.845216314111861e-13,dynamic_gen,8048
13.849155948529637,dynamic_gen,8049
15.728575789878047,dynamic_gen,8050
38.52981847315032,dynamic_gen,8051
19.945255234996655,dynamic_gen,8052
1.0153253248219302e-11,dynamic_gen,8053
15.86134013472201,dynamic_gen,8054
23.777279566324395,dynamic_gen,8055
37.09754501405793,dynamic_gen,8056
33.78199942194918,dynamic_gen,8057
40.40670825137775,dynamic_gen,8058
32.83742649300581,dynamic_gen,8059
4.329252897423443e-13,dynamic_gen,8060
3.560546175781921e-13,dynamic_gen,8061
7.450656240509241e-12,dynamic_gen,8062
1.2551053042559116e-11,dynamic_gen,8063
3.754265517274197e-13,dynamic_gen,8064
4.816902846022635e-13,dynamic_gen,8065
5.516583165966465e-13,dynamic_gen,8066
4.0654704768215665e-13,dynamic_gen,8067
1.1231787919305064e-12,dynamic_gen,8068
2.5867533560974457e-13,dynamic_gen,8069
5.271558436637618e-13,dynamic_gen,8070
8.763279596063333e-13,dynamic_gen,8071
6.211001434439928e-12,dynamic_gen,8072
1.3694232761293787e-12,dynamic_gen,8073
1.6280412268996062e-12,dynamic_gen,8074
1.3656815952113961e-12,dynamic_gen,8075
0.7197934704838571,dynamic_gen,8076
1.0902652736454246e-12,dynamic_gen,8077
6.55358595928686e-13,dynamic_gen,8078
1.201823335145009e-11,dynamic_gen,8079
6.728669171514587e-13,dynamic_gen,8080
51.80645296090823,dynamic_gen,8081
55.08648778033913,dynamic_gen,8082
29.361212406967717,dynamic_gen,8083
